Company_name;Region;Pays;CA;Nb_employees;SUPINFO_employees
Capgemini;Paris;France;342 765 000;234 354;197
Microsoft;Washington;USA;125 800 000 000;191 190;107
Société Générale;Paris;France;24 671 000 000;46 966;95
Sopra Steria;Paris;France;314 200 000;39 629;89
Atos;Bezons;France;11 900 000 000;73 657;82
CGI;Montreal;canada;11 500 000 000;53 413;75
Thales;Paris;France;19 000 000 000;60 586;67
Orange;Paris;France;42 200 000 000;125 851;64
Avanade;Iissy-les-moulineaux;France;128 288 100;13 647;59
BNP Paribas;Paris;France;44 597 000 000;165 410;60
Worldline Global;Bezons;France;2 381 600 ;6 223;54
Gfi world;Saint-Ouen;France;788 432 000;10 845;53
Euro-information;Strasbourg;France;1 359 404 800;12 303;44
Sogeti;Paris;France;575 608 000;12 035;63
Accenture;Dublin;Irlande;1 605 234 800;409 354;50
Alten;Boulogne-billancourt;France;2 620 000 000;10 209;43
Decathlon;Villeneuve-d'Ascq;France;12 400 000 000;23 667;23
Amaris Consulting;Geneve;Suisse;450 000 000;2 943;16
SPIE ICS;Malakoff;France;251 529 400;2 059;15
Cat-Amania;Saint-herblain;France;53 152 300;477;15
Astek;Boulogne-billancourt;France;97 239 800;1 734;24
AUSY;Sevres;France;298 573 000;2 635;26
Modis;Zurich;suisse;192 890 800;7 616;18
Cloud temple;Nanterre;France;37 389 500;245;27
EXAKIS NELITE;Bidart;France;65 000 000;456;28
Devoteam;Levallois-perret;France;41 600 000;6 390;32
Extia;Sevres;France;78 354 900;1 257;17
EDF;Paris;France;71 300 000 000;82 025;28
Total;Paris;France;200 000 000 000;64 982;17
davidson consulting;boulogne-billancourt;France;13 460 000;1 673;12
OPEN;Levallois-perret;France;304 000 000;2 936;28
OVHcloud;Roubaix;France;600 000 000;2 059;35
Desjardins;Levis;canada;300 000 000 000;22 909;23
Airbus;Blagnac;France;70 000 000 000;51 314;34
Talan;Paris;France;110 776 600;1 829;17
SQLI;Levallois-perret;France;239 200 000;2 278;21
Amadeus;Madrid;Espagne;1 270 000 000;13 689;15
METSYS;Paris;France;35 400 000;247;15
Néo-Soft Groupe;Paris;France;102 000 000;881;15
Altran;Neuilly-sur-seine;France;778 900 000;45 200;25
Criteo;Paris;France;272 000 000;2 931;11
LINKBYNET;Saint Denis;France;62 974 000;721;6
ENGIE;Paris;France;60 100 000 000;62 144;29
Cdiscount;Bordeaux;France;995 800 000;2 127;12
leboncoin;Paris;France;232 502 200;894;8
Qim info SA;Carouge;Suisse;32 000 000;235;10
PROLIVAL;Colombes;France;27 287 ;206;5
Shopify;Ottawa;Canada;1 073 000 ;8 193;8
La banque postale;Paris;france;6 500 000 000;15 048;9
Dailymotion;Paris;france;58 800 000;465;9
Ubisoft;Montreuil;France;1 800 000 000;20 216;23
L'Oréal;Paris;france;29 870 000 000;74 770;17
Amazon Web Services;Seattle;USA;9 950 000 000;74 764;14
Crédit Agricole;Montrouge;france;13 400 000 000;11 691;19
Hydro-Québec;Montréal;canada;14 021 000;11 192;6
Google;California;USA;39 000 000 000;222 747;14
IBM;New York;USA;18 030 000 000;514 294;35
Hewlett Packard Enterprise;texas;USA;852 089 700;185 246;17
Umanis;Levallois-perret;france;52 500 000;1 773;29
Adlere;Boulogne-billancourt;france;9 628 700;48;2
Malicis;Montreal;canada;;41;2
Axway;Annecy-le-Vieux;france;300 000 000;2 000;8
HSBC;Londre;Angleterre;53 940 000;194 160;14
Bouygues Telecom;Meudon-la-foret;france;6 058 000;8 111;15
Oracle;California;USA;9 600 000 000;184 699;1ç
OCTO technology;Paris;france;83 968 000;717;4
Insight;Arizona;USA;13 500 000;13 264;6
Banque de France;Paris;france;8 200 000 000;6 073;13
GPMJ;Fort de France;france;37 000;34;4
CHEOPS Technology;Canéjan;france;114 300 000;416;5
Computech;Saint-martin;france;273 000;251;3
ELCA informatique SA;Lausanne;suisse;141 800 000;1 088;3
AUTO1 Group;Berlin;Allemagne;2 900 000 000;2 259;1
Sonelgaz;Alger;Algérie;390 000 000 000;5 552;1
Neoness;Saint-honoré;paris;40 000 000;223;1
Apple;California;USA;61 000 000 000;221 445;19
C17 Engineering;Boulogne-billancourt;france;2 675 929;34;2
Lyreco;Marly;france;523 130 700;1 080;3
elsan;Paris;france;43 085 400;1 755;5
